agol_city,agol_subregion,agol_match,agol_score,species,count,location,county,arrival_date,departure_date,observers,longitude,latitude,geom
Duxbury,Plymouth,Duxbury Beach,100,Eared Grebe,1,Duxbury Beach,Plymouth,9/18/1993,9/18/1993,R. Fox,-70.63212,42.03522,0101000020E610000071C971A774A851C02315C61682044540
Barnstable,Barnstable County,"Barnstable, Massachusetts",92.2,Townsend's Solitaire,1,"Mill Pond, Barnstable",Barnstable,12/29/1996,3/16/1997,"V. Laux, R. Everett",-70.30446,41.70194,0101000020E61000002CBCCB457C9351C08BE07F2BD9D94440
NULL,Barnstable County,North Monomoy Island,88.68,Bar-tailed Godwit,1,"North Monomoy Island, Chatham",Barnstable,5/15/1998,5/15/1998,B. Nikula,-69.97528,41.63472,0101000020E6100000581CCEFC6A7E51C0FE0E45813ED14440
Newbury,Essex,Parker River Nat'l Wildlife Refuge,84.65,Fork-tailed Flycatcher,1,Parker River NWR--Hellcat Dike,Essex,8/8/1998,9/13/1998,"S. Perkins, E. Nielsen, S. Hennin",-70.81025,42.79136,0101000020E610000060E5D022DBB351C068AED3484B654540
NULL,Worcester County,West Waushacum Pond,85.78,Tufted Duck,1,"West Wauschaccum Pond, Sterling",Worcester,10/1/1996,11/24/1996,"F. McMenemy, M. Lynch",-71.76441,42.41429,0101000020E610000010AFEB17ECF051C0A987687407354540
Peabody,Essex,"South Peabody, Peabody, Massachusetts",100,Green-tailed Towhee,1,South Peabody,Essex,10/17/1979,11/3/1979,Rick Heil*,-70.95095,42.50988,0101000020E61000006688635DDCBC51C0377172BF43414540
Newbury,Essex,Parker River Nat'l Wildlife Refuge,84.65,Fork-tailed Flycatcher,1,Parker River NWR--Hellcat Dike,Essex,8/8/1998,9/13/1998,"S. Perkins, E. Nielsen, S. Hennin",-70.81025,42.79136,0101000020E610000060E5D022DBB351C068AED3484B654540
Gloucester,Essex,"Gloucester, Massachusetts",89.47,Eared Grebe,1,"Niles Beach, Gloucester",Essex,10/16/1996,2/8/1997,"J. Soucy, M. Lynch",-70.66811,42.61435,0101000020E61000005B087250C2AA51C018265305A34E4540
South Dennis,Barnstable,Dennis Pines Golf Course,100,Pink-footed Goose,1,Dennis Pines Golf Course,Barnstable,1/16/1999,2/20/1999,"Randy Fisher*, ph. D. Crockett, â€ S. Smolen-Morton, ph. â€ J. Trimble",-70.15518,41.73076,0101000020E6100000923F1878EE8951C0CB9C2E8B89DD4440
Hyannis,Barnstable County,Twin Brooks Golf Course,89.81,Bridled Tern,1,"Twin Brooks Golf Course, Hyannisport",Barnstable,1/16/1995,1/16/1995,collected by Ned Hardy (ph. Jeremiah Trimble),-70.29637,41.64416,0101000020E6100000FE60E0B9F79251C018B2BAD573D24440
Hingham,Plymouth,"Hingham, Massachusetts",90.27,Townsend's Solitaire,1,"World's End, Hingham",Plymouth,11/13/1993,1/1/1994,D. Cooper,-70.88607,42.22925,0101000020E6100000DFFDF15EB5B851C0D34D6210581D4540
Newbury,Essex,Parker River Nat'l Wildlife Refuge,84.65,Fork-tailed Flycatcher,1,Parker River NWR--Hellcat Dike,Essex,8/8/1998,9/13/1998,"S. Perkins, E. Nielsen, S. Hennin",-70.81025,42.79136,0101000020E610000060E5D022DBB351C068AED3484B654540
Newbury,Essex,Parker River Nat'l Wildlife Refuge,89.23,American White Pelican,1,"Hellcat, Parker River NWR",Essex,7/21/1997,10/15/1997,M. Pelikan,-70.81025,42.79136,0101000020E610000060E5D022DBB351C068AED3484B654540
South Dennis,Barnstable,Dennis Pines Golf Course,100,Pink-footed Goose,1,Dennis Pines Golf Course,Barnstable,1/16/1999,2/20/1999,"Randy Fisher*, ph. D. Crockett, â€ S. Smolen-Morton, ph. â€ J. Trimble",-70.15518,41.73076,0101000020E6100000923F1878EE8951C0CB9C2E8B89DD4440
Plymouth,Plymouth County,"Plymouth, Massachusetts",89,Bar-tailed Godwit,1,Plymouth--Nelson Field,Plymouth,12/29/1997,2/15/1998,"J. Trimble, J. Sones",-70.6568,41.92808,0101000020E6100000D200DE0209AA51C02D095053CBF64440
Newbury,Essex,Parker River Nat'l Wildlife Refuge,89.23,American White Pelican,1,"Hellcat, Parker River NWR",Essex,7/21/1997,10/15/1997,M. Pelikan,-70.81025,42.79136,0101000020E610000060E5D022DBB351C068AED3484B654540
Newbury,Essex,Parker River Nat'l Wildlife Refuge,89.23,American White Pelican,1,"Hellcat, Parker River NWR",Essex,7/21/1997,10/15/1997,M. Pelikan,-70.81025,42.79136,0101000020E610000060E5D022DBB351C068AED3484B654540
NULL,Plymouth County,Stony Point Dike,87.46,Eared Grebe,1,"Stony Point Dike, Wareham",Plymouth,12/17/1994,12/17/1994,W. Petersen,-70.66614,41.70011,0101000020E6100000ADA3AA09A2AA51C021CD58349DD94440
Newbury,Essex,Parker River Nat'l Wildlife Refuge,84.65,Fork-tailed Flycatcher,1,Parker River NWR--Hellcat Dike,Essex,8/8/1998,9/13/1998,"S. Perkins, E. Nielsen, S. Hennin",-70.81025,42.79136,0101000020E610000060E5D022DBB351C068AED3484B654540
Gloucester,Essex,"Gloucester, Massachusetts",83.33,Pacific Loon,1,"Bass Rocks, Atlantic Ave., Gloucester",Essex,5/14/1999,5/14/1999,R. Heil,-70.66811,42.61435,0101000020E61000005B087250C2AA51C018265305A34E4540
Plum Island,Essex,"Plum Island, Massachusetts",91.11,Pacific Loon,1,Southern Plum Island,Essex,5/10/1997,5/10/1997,S. Perkins,-70.81338,42.81259,0101000020E61000001CCEFC6A0EB451C04087F9F202684540
Newbury,Essex,Parker River Nat'l Wildlife Refuge,84.65,Fork-tailed Flycatcher,1,Parker River NWR--Hellcat Dike,Essex,8/8/1998,9/13/1998,"S. Perkins, E. Nielsen, S. Hennin",-70.81025,42.79136,0101000020E610000060E5D022DBB351C068AED3484B654540
Chilmark,Dukes,"Chilmark, Massachusetts",80,Townsend's Warbler,1,"Harris Loop Trail, Menemsha Hills Sanctuary, Chilmark",Dukes,10/4/1998,10/4/1998,A. Keith,-70.74433,41.3427,0101000020E6100000A1DB4B1AA3AF51C06B2BF697DDAB4440
Orleans,Barnstable,"Orleans, Massachusetts",84.49,Mississippi Kite,1,"Orleans Disposal Area, Orleans",Barnstable,5/28/1997,6/4/1997,R. Everett,-69.98996,41.78648,0101000020E6100000481630815B7F51C0A27A6B60ABE44440
NULL,Barnstable County,North Monomoy Island,88.68,Bar-tailed Godwit,1,"North Monomoy Island, Chatham",Barnstable,7/8/1992,9/5/1992,B. Nikula,-69.97528,41.63472,0101000020E6100000581CCEFC6A7E51C0FE0E45813ED14440
NULL,Barnstable County,North Monomoy Island,88.68,Bar-tailed Godwit,1,"North Monomoy Island, Chatham",Barnstable,6/3/1992,10/28/1992,B. Nikula,-69.97528,41.63472,0101000020E6100000581CCEFC6A7E51C0FE0E45813ED14440
Newbury,Essex,Parker River Nat'l Wildlife Refuge,84.65,Fork-tailed Flycatcher,1,Parker River NWR--Hellcat Dike,Essex,8/8/1998,9/13/1998,"S. Perkins, E. Nielsen, S. Hennin",-70.81025,42.79136,0101000020E610000060E5D022DBB351C068AED3484B654540
Salisbury,Essex,Salisbury Beach State Reservation,100,Ivory Gull,1,Salisbury Beach State Reservation,Essex,12/22/1975,3/5/1976,Strickland et al.,-70.81828,42.83256,0101000020E610000023BE13B35EB451C098FA7953916A4540
Plymouth,Plymouth County,"Plymouth, Massachusetts",89,Bar-tailed Godwit,1,Plymouth--Nelson Field,Plymouth,12/29/1997,2/15/1998,"J. Trimble, J. Sones",-70.6568,41.92808,0101000020E6100000D200DE0209AA51C02D095053CBF64440
South Wellfleet,Barnstable,"South Wellfleet, Massachusetts",90.83,Mountain Bluebird,3,"Marconi Site, South Wellfleet",Barnstable,1/27/1995,3/14/1995,E. Hoopes,-69.97757,41.92215,0101000020E61000003FE3C281907E51C0D200DE0209F64440
Salisbury,Essex,Salisbury Beach State Reservation,100,Ivory Gull,1,Salisbury Beach State Reservation,Essex,12/22/1975,3/5/1976,Strickland et al.,-70.81828,42.83256,0101000020E610000023BE13B35EB451C098FA7953916A4540
Town of Orleans,Barnstable,"East Orleans, Town of Orleans, Massachusetts",90.22,Eared Grebe,1,"Nauset Beach, East Orleans",Barnstable,1/14/1995,2/12/1995,S. Arena,-69.96941,41.7847,0101000020E6100000959A3DD00A7E51C0EA95B20C71E44440
Plymouth,Plymouth County,"Plymouth, Massachusetts",89,Bar-tailed Godwit,1,Plymouth--Nelson Field,Plymouth,12/29/1997,2/15/1998,"J. Trimble, J. Sones",-70.6568,41.92808,0101000020E6100000D200DE0209AA51C02D095053CBF64440
Weston,Middlesex,"Weston, Massachusetts",100,Black-headed Grosbeak,1,Weston,Middlesex,12/6/1962,12/8/1962,Baird et al.,-71.29669,42.36672,0101000020E610000037C30DF8FCD251C0026553AEF02E4540
South Wellfleet,Barnstable,"South Wellfleet, Massachusetts",90.83,Mountain Bluebird,3,"Marconi Site, South Wellfleet",Barnstable,1/27/1995,3/14/1995,E. Hoopes,-69.97757,41.92215,0101000020E61000003FE3C281907E51C0D200DE0209F64440
South Boston,Suffolk,"South Boston, Massachusetts",100,Townsend's Warbler,1,South Boston,Suffolk,12/4/1995,12/5/1995,NULL,-71.04948,42.33795,0101000020E6100000977329AE2AC351C073D712F2412B4540
West Bridgewater,Plymouth,"West Bridgewater, Massachusetts",88.24,Franklin's Gull,1,"Lake Nippenicket, West Bridgewater",Plymouth,10/26/1997,10/26/1997,S. Arena,-71.02156,42.01679,0101000020E6100000B6B9313D61C151C02E73BA2C26024540
South Boston,Suffolk,"South Boston, Massachusetts",100,Townsend's Warbler,1,South Boston,Suffolk,12/4/1995,12/5/1995,NULL,-71.04948,42.33795,0101000020E6100000977329AE2AC351C073D712F2412B4540
Peabody,Essex,"South Peabody, Peabody, Massachusetts",100,Green-tailed Towhee,1,South Peabody,Essex,10/17/1979,11/3/1979,Rick Heil*,-70.95095,42.50988,0101000020E61000006688635DDCBC51C0377172BF43414540
Newbury,Essex,Parker River Nat'l Wildlife Refuge,89.23,American White Pelican,1,"Hellcat, Parker River NWR",Essex,7/21/1997,10/15/1997,M. Pelikan,-70.81025,42.79136,0101000020E610000060E5D022DBB351C068AED3484B654540
NULL,Plymouth County,"Plymouth County, Massachusetts",75.56,White-winged Dove,1,Daniel Webster Wildlife Sanctuary--IBA,Plymouth,7/16/1999,7/16/1999,D. Furbish,-70.81259503,41.95080022,0101000020E61000007FAF958E01B451C0FDF654D2B3F94440
Town of Marblehead,Essex,"Marblehead Neck, Town of Marblehead, Massachusetts",81.69,Green-tailed Towhee,1,"Marblehead Neck Wildlife Sanctuary, Marblehead",Essex,4/1/1995,4/28/1995,"Jan Smith*, Erik Nielsenâ€ , Rick Heil",-70.83739,42.50012,0101000020E6100000D6FF39CC97B551C0AB09A2EE03404540
Plymouth,Plymouth County,"Plymouth, Massachusetts",89,Bar-tailed Godwit,1,Plymouth--Nelson Field,Plymouth,12/29/1997,2/15/1998,"J. Trimble, J. Sones",-70.6568,41.92808,0101000020E6100000D200DE0209AA51C02D095053CBF64440
South Dennis,Barnstable,Dennis Pines Golf Course,100,Pink-footed Goose,1,Dennis Pines Golf Course,Barnstable,1/16/1999,2/20/1999,"Randy Fisher*, ph. D. Crockett, â€ S. Smolen-Morton, ph. â€ J. Trimble",-70.15518,41.73076,0101000020E6100000923F1878EE8951C0CB9C2E8B89DD4440
Plymouth,Plymouth County,"Plymouth, Massachusetts",89,Bar-tailed Godwit,1,Plymouth--Nelson Field,Plymouth,12/29/1997,2/15/1998,"J. Trimble, J. Sones",-70.6568,41.92808,0101000020E6100000D200DE0209AA51C02D095053CBF64440
